source,airline,flight_code,departure,arrival,duration,stops,price,timestamp
MakeMyTrip,Akasa Air,QP 1812,22:55,02:00,03 h 05 m,Non stop,7018,2025-12-28T23:45:51.540162
MakeMyTrip,IndiGo,"6E 6529, 6E 6803",18:45,00:15,05 h 30 m,1 stop via Nagpur,7070,2025-12-28T23:45:51.679079
MakeMyTrip,Air India Express,"IX 1083, IX 2718",09:55,16:40,06 h 45 m,1 stop via Pune,7117,2025-12-28T23:45:51.818206
MakeMyTrip,IndiGo,6E 6833,05:30,08:25,02 h 55 m,Non stop,7121,2025-12-28T23:45:51.958870
MakeMyTrip,IndiGo,6E 844,20:00,23:00,03 h,Non stop,7121,2025-12-28T23:45:52.086820
MakeMyTrip,IndiGo,6E 477,21:30,00:25,02 h 55 m,Non stop,7121,2025-12-28T23:45:52.235850
MakeMyTrip,Air India,AI 2803,06:30,09:25,02 h 55 m,Non stop,7171,2025-12-28T23:45:52.404892
MakeMyTrip,IndiGo,"6E 2255, 6E 151",04:45,10:00,05 h 15 m,1 stop via Hyderabad,7173,2025-12-28T23:45:52.536945
Cleartrip,IndiGo,6E-2255,04:45,10:40,5h 55m,1 stop,7173,2025-12-28T23:51:04.678841
Cleartrip,IndiGo,6E-933,20:25,02:40,6h 15m,1 stop,7173,2025-12-28T23:51:04.741218
Cleartrip,IndiGo,6E-6924,21:05,02:40,5h 35m,1 stop,7173,2025-12-28T23:51:04.617691
Cleartrip,IndiGo,6E-2579,16:15,22:40,6h 25m,1 stop,7197,2025-12-28T23:51:04.809657
MakeMyTrip,Air India,AI 2653,04:30,07:20,02 h 50 m,Non stop,7221,2025-12-28T23:45:52.660868
MakeMyTrip,Air India,AI 2815,07:05,09:45,02 h 40 m,Non stop,7221,2025-12-28T23:45:52.793776
MakeMyTrip,Air India,AI 2512,19:00,22:00,03 h,Non stop,7221,2025-12-28T23:45:52.925357
MakeMyTrip,Air India,AI 2809,19:30,22:25,02 h 55 m,Non stop,7221,2025-12-28T23:45:53.087420
MakeMyTrip,Air India,AI 2807,20:00,23:00,03 h,Non stop,7221,2025-12-28T23:45:53.228025
MakeMyTrip,Air India,AI 2412,21:30,00:30,03 h,Non stop,7221,2025-12-28T23:45:53.365923
MakeMyTrip,SpiceJet,SG 142,22:00,00:50,02 h 50 m,Non stop,7303,2025-12-28T23:45:53.500899
MakeMyTrip,IndiGo,6E 6403,07:05,09:55,02 h 50 m,Non stop,7537,2025-12-28T23:45:53.624725
MakeMyTrip,IndiGo,6E 2786,08:00,10:55,02 h 55 m,Non stop,7537,2025-12-28T23:45:53.758474
MakeMyTrip,IndiGo,6E 6622,18:00,20:55,02 h 55 m,Non stop,7537,2025-12-28T23:45:53.891160
MakeMyTrip,IndiGo,6E 6832,19:00,21:55,02 h 55 m,Non stop,7537,2025-12-28T23:45:54.022003
MakeMyTrip,IndiGo,6E 6131,23:00,01:55,02 h 55 m,Non stop,7537,2025-12-28T23:45:54.178843
MakeMyTrip,Air India,AI 2757,00:15,03:10,02 h 55 m,Non stop,7610,2025-12-28T23:45:54.305104
MakeMyTrip,Air India,AI 507,03:20,05:50,02 h 30 m,Non stop,7610,2025-12-28T23:45:54.437831
MakeMyTrip,Air India,AI 2651,08:00,10:55,02 h 55 m,Non stop,7610,2025-12-28T23:45:54.568038
MakeMyTrip,Air India,AI 427,08:30,11:20,02 h 50 m,Non stop,7610,2025-12-28T23:45:54.695922
MakeMyTrip,Air India,AI 2813,18:00,21:00,03 h,Non stop,7701,2025-12-28T23:45:54.851669
MakeMyTrip,IndiGo,"6E 6776, 6E 285",15:30,21:45,06 h 15 m,1 stop via Hyderabad,7831,2025-12-28T23:45:54.981938
